Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
52,Female,White (non-hispanic),61420,52,With other family,1,2,19,Four-year college,At least once a week,A few times a month,A few times a month,Daily,5,2,3,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
52,Male,White (non-hispanic),32065,7,"With spouse, significant other, and/or children",5+,0,33,High school,Less often,At least once a week,Less often,Less often,0,2,0,0,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree
52,Female,White (non-hispanic),38401,30,With other family,1,0.5,56,Some college/associate's degree,Less often,About once a month,Less often,At least once a week,2,1,0,3,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
52,Female,White (non-hispanic),97306,14,"With spouse, significant other, and/or children",1,0,67,Some college/associate's degree,At least once a week,Less often,Less often,Less often,1,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree
52,Male,White (non-hispanic),93726,20,"With spouse, significant other, and/or children",1,0.2,42,Four-year college,At least once a week,A few times a month,About once a month,Daily,4,3,6,13,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
52,Female,White (non-hispanic),30534,15,"With spouse, significant other, and/or children",1,0,79,Some college/associate's degree,A few times a month,About once a month,A few times a month,Less often,10,2,1,0,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
51,Male,White (non-hispanic),11545,18,Living alone,1,0.1,379,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Daily,3,5,6,5,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
51,Male,White (non-hispanic),57103,51,"With spouse, significant other, and/or children",1,0.2,20,High school,A few times a month,At least once a week,A few times a month,Daily,3,2,3,4,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
51,Female,White (non-hispanic),46750,8,Living alone,5+,0.1,315,Master's or post-graduate professional degree,At least once a week,At least once a week,Less often,A few times a month,0,0,0,10,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
51,Female,White (non-hispanic),39565,6,"With spouse, significant other, and/or children",1,0,75,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,10,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
51,Male,White (non-hispanic),48230,11,"With spouse, significant other, and/or children",1,0.7,330,Master's or post-graduate professional degree,Less often,At least once a week,About once a month,Less often,0,20,4,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
51,Male,White (non-hispanic),52043,20,"With spouse, significant other, and/or children",1,0.2,74,Four-year college,About once a month,About once a month,About once a month,About once a month,4,8,4,8,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
51,Male,Asian,90808,21,"With spouse, significant other, and/or children",1,0,181,Master's or post-graduate professional degree,Less often,About once a month,Less often,Less often,0,3,1,2,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
51,Male,White (non-hispanic),8098,51,Living alone,1,2,66,Some college/associate's degree,A few times a month,Daily,About once a month,A few times a month,6,10,1,4,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
51,Female,Black or African American,70812,45,Living alone,1,3.6,210,Four-year college,Daily,At least once a week,At least once a week,At least once a week,3,2,2,1,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
51,Male,Black or African American,63136,20,With other family,1,4.5,40,Some college/associate's degree,At least once a week,At least once a week,A few times a month,Less often,4,3,2,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
51,Male,White (non-hispanic),32114,10,With roommates,1,0.3,37,Four-year college,About once a month,At least once a week,At least once a week,Daily,0,4,2,5,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
51,Female,Black or African American,30135,12,Living alone,5+,0,15,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
50,Male,White (non-hispanic),14220,6,Living alone,5+,0.2,38,Four-year college,At least once a week,At least once a week,About once a month,Daily,3,4,1,6,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
50,Male,White (non-hispanic),59602,6,With roommates,1,0,12,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
50,Female,White (non-hispanic),2760,40,"With spouse, significant other, and/or children",4,0.5,66,Four-year college,At least once a week,Less often,Less often,Less often,2,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
50,Male,White (non-hispanic),84074,18,"With spouse, significant other, and/or children",1,0,213,Four-year college,About once a month,About once a month,About once a month,At least once a week,5,10,8,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree
50,Male,White (non-hispanic),37388,44,"With spouse, significant other, and/or children",1,0.2,65,Some college/associate's degree,At least once a week,About once a month,Less often,Less often,3,2,0,2,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
50,Male,"White (non-hispanic),American Indian or Alaska Native",37664,6,"With spouse, significant other, and/or children",5+,0,25,Some college/associate's degree,Less often,A few times a month,Daily,At least once a week,0,3,5,2,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
50,Female,White (non-hispanic),32176,20,"With spouse, significant other, and/or children",1,1.5,81,Four-year college,About once a month,About once a month,Less often,Less often,2,5,2,4,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
50,Male,Asian,78744,3,With roommates,1,0.7,3,Four-year college,Less often,At least once a week,Less often,Daily,0,0,0,0,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree
50,Male,Asian,28027,16,"With spouse, significant other, and/or children",1,0,145,Four-year college,Less often,About once a month,About once a month,Less often,0,3,4,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
50,Female,Black or African American,94608,5,Living alone,5+,0,50,Four-year college,Less often,A few times a month,A few times a month,At least once a week,0,10,10,2,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
50,Male,White (non-hispanic),63129,47,Living alone,1,0.5,85,Four-year college,At least once a week,At least once a week,At least once a week,Daily,4,6,2,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
50,Male,White (non-hispanic),92284,41,Living alone,1,0,6,Some college/associate's degree,A few times a month,At least once a week,About once a month,Less often,4,500,2000,0,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
50,Female,White (non-hispanic),48653,1,"With spouse, significant other, and/or children",5+,3,204,Some college/associate's degree,About once a month,About once a month,Daily,Daily,0,0,5,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
50,Female,White (non-hispanic),6119,14,Living alone,5+,0,22,Master's or post-graduate professional degree,Less often,About once a month,Less often,Less often,0,3,0,0,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
50,Female,"White (non-hispanic),Other",90026,11,Living alone,5+,0,27,Master's or post-graduate professional degree,At least once a week,A few times a month,A few times a month,Less often,0,2,1,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
50,Male,Asian,20876,6,"With spouse, significant other, and/or children",1,0.2,149,Master's or post-graduate professional degree,Daily,A few times a month,A few times a month,Daily,2,0,10,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
50,Female,White (non-hispanic),77002,10,Living alone,5+,1,45,Four-year college,A few times a month,At least once a week,Less often,At least once a week,0,5,10,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree
50,Female,White (non-hispanic),55901,20,"With spouse, significant other, and/or children",1,0,100,Four-year college,About once a month,A few times a month,A few times a month,Less often,2,10,6,3,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
50,Female,White (non-hispanic),59201,12,"With spouse, significant other, and/or children",1,0,121,Four-year college,Less often,At least once a week,At least once a week,Less often,0,1,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
50,Male,White (non-hispanic),37830,50,Living alone,1,0,51,Some college/associate's degree,About once a month,Less often,Less often,Less often,2,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree
50,Female,White (non-hispanic),35222,8,"With spouse, significant other, and/or children",1,0.3,27,Some college/associate's degree,A few times a month,Less often,About once a month,At least once a week,11,3,4,3,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
50,Female,Black or African American,61103,2,With roommates,2,1.1,267,Some college/associate's degree,About once a month,About once a month,Less often,A few times a month,1,3,4,6,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
50,Male,White (non-hispanic),58102,4,Living alone,1,0.2,30,Some college/associate's degree,Less often,At least once a week,At least once a week,A few times a month,1,5,5,10,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
50,Female,White (non-hispanic),68450,4,Living alone,5+,0,16,Some college/associate's degree,Less often,At least once a week,Daily,Less often,0,2,1,0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
49,Male,White (non-hispanic),11545,15,"With spouse, significant other, and/or children",1,0.5,320,Master's or post-graduate professional degree,At least once a week,At least once a week,A few times a month,Less often,3,2,2,1,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
49,Female,White (non-hispanic),78652,2,"With spouse, significant other, and/or children",1,0.2,109,Master's or post-graduate professional degree,Less often,About once a month,Less often,About once a month,0,3,1,1,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
49,Male,Black or African American,77048,47,Living alone,1,0.2,78,Some college/associate's degree,Less often,At least once a week,A few times a month,Less often,1,5,19,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
49,Male,Black or African American,8010,2,"With spouse, significant other, and/or children",5+,0.3,65,Some college/associate's degree,At least once a week,A few times a month,A few times a month,Daily,5,2,1,3,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
49,Female,Black or African American,92105,13,With other family,1,1,78,Four-year college,At least once a week,At least once a week,A few times a month,Daily,3,2,3,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
49,Female,White (non-hispanic),60655,17,"With spouse, significant other, and/or children",1,0.3,130,Master's or post-graduate professional degree,About once a month,At least once a week,At least once a week,Daily,10,10,5,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
49,Female,White (non-hispanic),76706,49,"With spouse, significant other, and/or children",1,0,64,Some college/associate's degree,Less often,At least once a week,Less often,Daily,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
49,Male,White (non-hispanic),89052,22,"With spouse, significant other, and/or children",1,,69,Some college/associate's degree,At least once a week,At least once a week,At least once a week,Less often,3,4,6,2,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
48,Male,White (non-hispanic),23294,9,Living alone,5+,0.1,61,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,Less often,0,2,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
48,Female,Asian,60563,13,"With spouse, significant other, and/or children",5+,0.3,70,Master's or post-graduate professional degree,Less often,At least once a week,About once a month,Daily,0,5,2,50,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
48,Female,White (non-hispanic),73127,1,"With spouse, significant other, and/or children",1,0,58,High school,Less often,About once a month,A few times a month,Less often,0,0,4,1,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
48,Male,White (non-hispanic),15129,17,"With spouse, significant other, and/or children",1,0.7,47,Some college/associate's degree,A few times a month,A few times a month,At least once a week,Daily,0,0,8,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
48,Male,White (non-hispanic),98109,30,"With spouse, significant other, and/or children",1,0.9,216,Some college/associate's degree,Less often,Daily,Daily,Daily,0,10,4,2,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
48,Female,White (non-hispanic),92614,4,With other family,4,0,38,Some college/associate's degree,Less often,Less often,Less often,About once a month,0,0,3,0,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
48,Female,White (non-hispanic),30102,3,"With spouse, significant other, and/or children",1,0,149,Four-year college,Less often,About once a month,Less often,Less often,0,10,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
48,Female,Black or African American,27536,16,"With spouse, significant other, and/or children",1,0.4,197,Master's or post-graduate professional degree,Less often,A few times a month,A few times a month,Daily,0,2,5,10,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
47,Male,"White (non-hispanic),Hispanic",30453,14,"With spouse, significant other, and/or children",1,1.5,88,Some college/associate's degree,A few times a month,At least once a week,About once a month,About once a month,7,6,2,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
47,Male,White (non-hispanic),7603,12,Living alone,1,0.2,76,Four-year college,About once a month,At least once a week,Less often,A few times a month,4,3,2,2,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
47,Male,Asian,60606,11,"With spouse, significant other, and/or children",5+,0.5,120,Four-year college,Less often,At least once a week,A few times a month,Daily,0,10,4,3,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
47,Female,White (non-hispanic),19608,16,"With spouse, significant other, and/or children",1,0.3,74,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,Less often,0,3,5,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
47,Female,White (non-hispanic),74726,25,"With spouse, significant other, and/or children",1,0,76,Some college/associate's degree,At least once a week,Less often,Less often,Less often,2,0,0,0,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
47,Male,"White (non-hispanic),Asian",28409,1,"With spouse, significant other, and/or children",1,1.1,202,Master's or post-graduate professional degree,Less often,A few times a month,At least once a week,At least once a week,0,20,10,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
47,Female,"White (non-hispanic),Hispanic",80817,2,With other family,1,0.8,20,Some college/associate's degree,At least once a week,Daily,About once a month,Less often,6,3,4,0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
47,Female,White (non-hispanic),47421,40,"With spouse, significant other, and/or children",1,0,25,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
47,Female,White (non-hispanic),43613,3,Living alone,1,0.1,21,Four-year college,A few times a month,At least once a week,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
47,Male,White (non-hispanic),46845,3,"With spouse, significant other, and/or children",1,0.3,80,Four-year college,A few times a month,At least once a week,At least once a week,Daily,1,3,2,4,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
47,Female,Black or African American,27613,10,"With spouse, significant other, and/or children",1,5,82,Some college/associate's degree,Daily,At least once a week,At least once a week,Daily,17,10,8,27,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
47,Female,White (non-hispanic),76015,9,Living alone,1,0,37,Four-year college,A few times a month,Less often,Daily,Daily,2,0,3,2,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
47,Female,White (non-hispanic),37862,10,"With spouse, significant other, and/or children",2,1,12,High school,At least once a week,About once a month,Less often,Less often,3,2,0,0,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
46,Female,White (non-hispanic),65023,2,"With spouse, significant other, and/or children",1,0,42,Some college/associate's degree,At least once a week,A few times a month,About once a month,Less often,4,3,3,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
46,Female,White (non-hispanic),33635,1,"With spouse, significant other, and/or children",1,0.2,94,Four-year college,Less often,A few times a month,Less often,At least once a week,0,4,0,4,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
46,Female,White (non-hispanic),38028,15,"With spouse, significant other, and/or children",1,0.5,80,Some college/associate's degree,At least once a week,A few times a month,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree
46,Male,White (non-hispanic),89117,4,"With spouse, significant other, and/or children",1,0,160,Some college/associate's degree,At least once a week,A few times a month,Less often,About once a month,1,2,0,0,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
46,Female,Asian,90680,15,"With spouse, significant other, and/or children",1,0,180,Four-year college,About once a month,A few times a month,Less often,Less often,2,12,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
46,Female,Hispanic,19082,5,With other family,3,0.5,35,High school,A few times a month,A few times a month,A few times a month,At least once a week,3,2,3,10,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
46,Female,White (non-hispanic),57106,3,With other family,5+,1.5,29,Some college/associate's degree,At least once a week,Less often,Less often,Daily,6,2,1,10,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
46,Male,Black or African American,45503,6,With other family,5+,0.2,66,Some college/associate's degree,Less often,A few times a month,Less often,Less often,0,2,0,0,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
46,Female,Asian,94583,5,"With spouse, significant other, and/or children",1,0,199,Master's or post-graduate professional degree,Less often,About once a month,Less often,Less often,0,3,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
46,Female,White (non-hispanic),99567,3,"With spouse, significant other, and/or children",1,1.4,47,Four-year college,A few times a month,Daily,About once a month,Less often,3,4,2,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
46,Male,White (non-hispanic),64093,30,"With spouse, significant other, and/or children",1,0,101,Master's or post-graduate professional degree,Less often,Less often,Less often,Less often,0,0,20,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree
45,Male,White (non-hispanic),49770,12,"With spouse, significant other, and/or children",1,0.3,62,Four-year college,A few times a month,At least once a week,At least once a week,Daily,3,5,4,5,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
45,Male,White (non-hispanic),29414,7,"With spouse, significant other, and/or children",1,0.5,88,High school,About once a month,A few times a month,Less often,Daily,6,2,2,20,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
45,Male,Asian,75149,12,"With spouse, significant other, and/or children",1,0,5,Four-year college,Less often,About once a month,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
45,Male,White (non-hispanic),34654,4,Living alone,5+,0,82,Some college/associate's degree,Daily,Less often,At least once a week,Daily,2,0,1,0,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45,Female,White (non-hispanic),45011,100,"With spouse, significant other, and/or children",5+,0.4,102,Four-year college,Less often,Less often,Less often,Less often,6,2,15,2,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
45,Female,Hispanic,48439,10,"With spouse, significant other, and/or children",1,0,150,Four-year college,A few times a month,A few times a month,At least once a week,Daily,2,5,5,2,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
45,Male,White (non-hispanic),96720,3,Living alone,1,0,1,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
45,Female,Black or African American,24550,1,With other family,1,0,10,Some college/associate's degree,Less often,Less often,Less often,Less often,0,2,1,0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
45,Female,Black or African American,75189,2,With other family,1,0,5,High school,Less often,Less often,Less often,Less often,0,0,0,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
45,Female,White (non-hispanic),62670,45,Living alone,1,0.4,52,Some college/associate's degree,About once a month,Daily,A few times a month,Daily,3,0,4,0,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
45,Male,Asian,94109,40,With other family,5+,0,20,Four-year college,About once a month,Less often,Less often,Less often,0,0,0,0,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree
45,Male,Black or African American,48127,19,With other family,2,2,119,Four-year college,About once a month,A few times a month,About once a month,About once a month,3,4,5,2,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
45,Female,White (non-hispanic),15317,17,"With spouse, significant other, and/or children",1,0,89,Four-year college,About once a month,Less often,Less often,Less often,3,2,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
45,Female,Asian,77092,2,"With spouse, significant other, and/or children",1,0.5,94,Four-year college,Less often,Less often,Less often,About once a month,0,1,0,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
45,Female,"White (non-hispanic),Hispanic",87111,2,With other family,5+,0.1,500,High school,At least once a week,At least once a week,At least once a week,About once a month,9,8,8,9,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
45,Female,White (non-hispanic),38464,12,"With spouse, significant other, and/or children",1,0.3,162,Master's or post-graduate professional degree,About once a month,About once a month,Less often,About once a month,30,20,0,0,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
45,Female,Asian,10019,3,"With spouse, significant other, and/or children",5+,0.3,103,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45,Male,White (non-hispanic),19149,33,With other family,1,0,0,Four-year college,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
45,Male,White (non-hispanic),49601,21,Living alone,1,1,40,Four-year college,At least once a week,About once a month,Less often,Less often,1,2,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
45,Female,Black or African American,45211,14,"With spouse, significant other, and/or children",1,0,500,Four-year college,At least once a week,At least once a week,Less often,Less often,4,1,0,0,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
45,Male,Asian,90001,3,Living alone,5+,0.4,45,Four-year college,A few times a month,At least once a week,Less often,A few times a month,2,5,2,2,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
45,Female,White (non-hispanic),36545,6,"With spouse, significant other, and/or children",1,0.2,120,Some college/associate's degree,At least once a week,A few times a month,About once a month,Less often,0,2,15,0,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
45,Female,White (non-hispanic),80014,10,"With spouse, significant other, and/or children",1,0,169,Four-year college,Daily,About once a month,Less often,Less often,3,2,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
45,Female,Black or African American,92345,4,Living alone,1,0,20,Master's or post-graduate professional degree,At least once a week,A few times a month,Less often,About once a month,2,1,1,1,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
45,Female,White (non-hispanic),39339,7,"With spouse, significant other, and/or children",1,1.2,131,Master's or post-graduate professional degree,At least once a week,At least once a week,A few times a month,At least once a week,4,3,1,2,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
44,Male,Asian,92602,20,"With spouse, significant other, and/or children",1,0,55,Four-year college,A few times a month,At least once a week,At least once a week,At least once a week,4,2,3,2,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
44,Male,White (non-hispanic),18015,6,Living alone,2,1,60,Master's or post-graduate professional degree,A few times a month,Less often,Less often,Less often,0,5,20,2,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree
